Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,,23,TOR,0.6585365853658537,0.14457831325301204,0.4925,0.32142857142857145,0.32882882882882886,0.485,0.1020408163265306,0.17543859649122806,0.269,0.2857142857142857,0.30337078651685395,0.564,0.521,0.16,0.18699186991869915,0.702,0.35294117647058826,0.4270833333333333,0.48,0.08411214953271029,0.19999999999999998,0.16666666666666666,0.26829268292682934,0.38,0.2779456193353474
2,Steven Adams,,29,MEM,0.5,0.5060240963855421,0.65,0.3303571428571429,0.28378378378378377,0.597,0.0,0.0,0.0,0.3523809523809524,0.34831460674157305,0.599,0.597,0.11000000000000001,0.25203252032520324,0.364,1.0,0.6770833333333334,0.92,0.21495327102803738,0.3,0.3666666666666667,0.4634146341463415,0.45999999999999996,0.2598187311178248
3,Bam Adebayo,,25,MIA,0.9024390243902439,0.9036144578313253,0.8400000000000001,0.7142857142857143,0.6711711711711712,0.54,0.0,0.017543859649122806,0.083,0.7619047619047619,0.8258426966292134,0.545,0.541,0.43,0.43902439024390244,0.806,0.4901960784313726,0.6979166666666667,0.736,0.2990654205607477,0.39999999999999997,0.26666666666666666,0.6097560975609757,0.5599999999999999,0.6163141993957704
4,Ochai Agbaji,,22,UTA,0.7073170731707317,0.26506024096385544,0.4875,0.25,0.2927927927927928,0.427,0.2857142857142857,0.34210526315789475,0.355,0.13333333333333333,0.15168539325842698,0.532,0.532,0.09,0.09756097560975609,0.812,0.13725490196078433,0.13541666666666669,0.168,0.10280373831775702,0.09999999999999999,0.09999999999999999,0.17073170731707318,0.33999999999999997,0.23867069486404835
5,Santi Aldama,,22,MEM,0.926829268292683,0.24096385542168675,0.52,0.28571428571428575,0.3063063063063063,0.47,0.24489795918367344,0.30701754385964913,0.353,0.19047619047619047,0.19101123595505617,0.591,0.56,0.13999999999999999,0.15447154471544713,0.75,0.21568627450980396,0.3854166666666667,0.384,0.12149532710280375,0.19999999999999998,0.19999999999999998,0.19512195121951223,0.38,0.2719033232628399
6,Nickeil Alexander-Walker,,24,TOT,0.7073170731707317,0.03614457831325301,0.35,0.19642857142857145,0.22522522522522523,0.444,0.2040816326530612,0.2368421052631579,0.384,0.11428571428571428,0.1292134831460674,0.515,0.547,0.06999999999999999,0.08130081300813008,0.667,0.058823529411764705,0.15625,0.136,0.16822429906542058,0.16666666666666666,0.13333333333333333,0.21951219512195125,0.3,0.18731117824773413
6,Nickeil Alexander-Walker,,24,UTA,0.4268292682926829,0.03614457831325301,0.34249999999999997,0.20535714285714285,0.21171171171171171,0.488,0.2040816326530612,0.21052631578947367,0.402,0.12380952380952381,0.1292134831460674,0.578,0.591,0.08,0.08943089430894309,0.692,0.03921568627450981,0.14583333333333334,0.128,0.19626168224299068,0.2333333333333333,0.13333333333333333,0.3170731707317074,0.32,0.1903323262839879
6,Nickeil Alexander-Walker,,24,MIN,0.2682926829268293,0.0,0.3625,0.18750000000000003,0.24324324324324326,0.384,0.22448979591836735,0.2719298245614035,0.361,0.09523809523809523,0.1292134831460674,0.415,0.488,0.06,0.07317073170731707,0.619,0.058823529411764705,0.15625,0.14400000000000002,0.1308411214953271,0.09999999999999999,0.09999999999999999,0.09756097560975611,0.26,0.17824773413897282
7,Grayson Allen,,27,MIL,0.8658536585365854,0.8433734939759037,0.6599999999999999,0.3035714285714286,0.34684684684684686,0.44,0.4081632653061224,0.4473684210526315,0.399,0.13333333333333333,0.15168539325842698,0.518,0.571,0.16,0.14634146341463414,0.905,0.15686274509803924,0.25,0.264,0.21495327102803738,0.3,0.06666666666666667,0.24390243902439027,0.32,0.31419939577039274
8,Jarrett Allen,,24,CLE,0.8170731707317073,0.8192771084337349,0.79,0.5267857142857143,0.4144144144144144,0.644,0.0,0.008771929824561403,0.1,0.5619047619047619,0.5112359550561797,0.653,0.645,0.24,0.26829268292682923,0.733,0.6470588235294118,0.6770833333333334,0.784,0.15887850467289721,0.26666666666666666,0.39999999999999997,0.34146341463414637,0.45999999999999996,0.43202416918429004
