Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP
1,Precious Achiuwa,PF,21,MIA,0.8450704225352113,0.05555555555555555,0.17857142857142858,0.16086956521739132,.544,0.0,0.0,.000,0.19607843137254904,0.22023809523809523,.546,.544,0.09782608695652174,0.16822429906542058,0.509,0.2553191489361702,0.21782178217821785,0.23776223776223773,0.042735042735042736,0.14285714285714285,0.14705882352941177,0.13999999999999999,0.375,0.15625,14.2,.550,.004,.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.3,1.0,1.3,.085,-3.6,-0.5,-4.1,-0.4,0.2753650040761877
5,LaMarcus Aldridge,C,35,SAS,0.28169014084507044,0.25,0.4910714285714286,0.5130434782608696,.464,0.24528301886792456,0.28346456692913385,.360,0.411764705882353,0.488095238095238,.509,.518,0.16304347826086957,0.16822429906542058,0.838,0.1702127659574468,0.3663366336633664,0.3146853146853147,0.1452991452991453,0.19047619047619047,0.2647058823529412,0.2,0.425,0.428125,15.1,.545,.302,.149,3.3,15.4,9.2,10.2,0.7,2.8,7.0,22.7,0.3,0.5,0.8,.067,-0.2,-0.7,-0.9,0.2,0.20896020158600756
6,Ty-Shon Alexander,SG,22,PHO,0.19718309859154928,0.0,0.01785714285714286,0.034782608695652174,.250,0.01886792452830189,0.047244094488188976,.222,0.009803921568627453,0.011904761904761904,.333,.333,0.010869565217391306,0.009345794392523366,0.5,0.02127659574468085,0.04950495049504951,0.048951048951048945,0.03418803418803419,0.0,0.029411764705882356,0.04,0.025,0.01875,4.2,.349,.750,.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,-0.1,0.0,0.0,-0.048,-4.8,-1.7,-6.5,-0.1,0.01634180686281776
7,Nickeil Alexander-Walker,SG,22,NOP,0.6338028169014085,0.18055555555555555,0.37500000000000006,0.43478260869565216,.419,0.32075471698113206,0.3779527559055118,.347,0.2450980392156863,0.30952380952380953,.485,.502,0.10869565217391305,0.1308411214953271,0.727,0.06382978723404255,0.2772277227722772,0.21678321678321677,0.18803418803418806,0.47619047619047616,0.14705882352941177,0.3,0.475,0.34375,12.5,.522,.478,.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1.0,0.7,.035,-1.4,0.1,-1.3,0.2,0.3790483954643149
8,Grayson Allen,SG,25,MEM,0.6901408450704225,0.5277777777777778,0.3125,0.36086956521739133,.418,0.39622641509433965,0.4330708661417323,.391,0.12745098039215688,0.16666666666666666,.471,.547,0.1739130434782609,0.16822429906542058,0.868,0.0851063829787234,0.2772277227722772,0.22377622377622378,0.18803418803418806,0.42857142857142855,0.05882352941176471,0.2,0.35,0.33125,12.8,.586,.662,.220,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,.101,-0.2,0.1,-0.2,0.6,0.4736530052619877
10,Al-Farouq Aminu,PF,30,TOT,0.30985915492957744,0.19444444444444445,0.1517857142857143,0.18695652173913044,.384,0.05660377358490566,0.12598425196850396,.216,0.12745098039215688,0.16071428571428573,.484,.424,0.08695652173913045,0.09345794392523366,0.818,0.2127659574468085,0.37623762376237624,0.3356643356643356,0.11111111111111112,0.38095238095238093,0.11764705882352942,0.24,0.325,0.1375,8.9,.469,.374,.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,-0.4,0.5,0.1,.010,-4.9,1.1,-3.8,-0.2,0.16560438746016454
10,Al-Farouq Aminu,PF,30,ORL,0.22535211267605634,0.19444444444444445,0.18750000000000003,0.22608695652173913,.404,0.07547169811320756,0.14173228346456693,.226,0.16666666666666669,0.20238095238095236,.500,.444,0.08695652173913045,0.09345794392523366,0.824,0.2553191489361702,0.4158415841584159,0.3776223776223776,0.1452991452991453,0.47619047619047616,0.14705882352941177,0.3,0.325,0.171875,9.9,.482,.348,.191,5.5,20.8,12.9,11.3,2.3,2.2,20.6,14.3,-0.3,0.4,0.1,.014,-4.4,1.3,-3.1,-0.1,0.14177721781664568
10,Al-Farouq Aminu,PF,30,CHI,0.07042253521126761,0.0,0.026785714285714288,0.07391304347826087,.200,0.03773584905660378,0.07874015748031496,.167,0.019607843137254905,0.041666666666666664,.250,.250,0.07608695652173914,0.07476635514018692,0.8,0.06382978723404255,0.2772277227722772,0.22377622377622378,0.02564102564102564,0.14285714285714285,0.0,0.1,0.3,0.046875,3.0,.369,.600,.500,3.3,27.8,15.7,3.5,1.4,0.0,19.7,9.8,-0.1,0.1,0.0,-0.013,-7.5,0.2,-7.3,-0.1,0.026754613503298007
11,Kyle Anderson,PF,27,MEM,0.9577464788732394,0.9583333333333334,0.4017857142857143,0.41304347826086957,.468,0.2641509433962264,0.2992125984251969,.360,0.303921568627451,0.34523809523809523,.539,.540,0.2282608695652174,0.25233644859813087,0.783,0.1702127659574468,0.49504950495049505,0.3986013986013986,0.3076923076923077,0.5714285714285714,0.23529411764705885,0.24,0.425,0.3875,17.2,.578,.397,.280,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,.143,1.4,1.9,3.3,2.5,0.7071444452679168
13,Kostas Antetokounmpo,PF,23,LAL,0.19718309859154928,0.0,0.01785714285714286,0.03043478260869565,.300,0.0,0.0,0,0.019607843137254905,0.041666666666666664,.300,.300,0.04347826086956522,0.08411214953271029,0.462,0.06382978723404255,0.09900990099009901,0.09090909090909091,0.008547008547008548,0.047619047619047616,0.08823529411764706,0.13999999999999999,0.125,0.025,0.0,.382,.000,1.300,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,-0.3,0.1,-0.2,-0.174,-13.3,0.8,-12.6,-0.1,0.019899206996220265
